bookingID,phoneNo,username,bookingDate,movieID,noOfTickets,seats,adultTicket,seniorTicket,studentTicket,childTicket,foodNo,totalPrice,isClaimed
1,88999886,acalafato1x,2023-12-31,AWhiskerAway2020,2,"J1, J2",0,1,0,1,2,28,1
2,99814416,cwiggington2d,2023-11-30,TheBossBaby2017,3,"A5, A6, A7",1,1,0,1,1,32,1
3,87002613,btuer2n,2023-03-25,Slumberland2022,2,"C3, C4",1,0,1,0,1,28,1
4,85560197,lraynes27,2023-03-14,WeHaveaGhost2023,5,"C1, C2, C3, C4, C5",2,1,1,1,5,84,1
5,88884822,ghewsi,2023-04-09,AWhiskerAway2020,7,"B2, B3, B4, B5, B6, B7, B8",3,2,1,1,4,94,0
6,85279247,sbrockbank2c,2023-05-14,Fireworks2017,9,"A1, A2, A3, A4, A5, A6, A7, A8, A9",1,2,3,3,7,122,0
7,81344165,dmutimer1n,2023-01-14,Fireworks2017,10,"D1, D2, D3, D4, D5, E1, E2, E3, E4, E5",10,0,0,0,11,208,1
8,86165122,jshelley8,2023-05-25,Don'tWorryDarling2022,1,F9,1,0,0,0,1,20,0
9,93479986,tnerneyp,2023-04-27,RideOn2023,3,"G6, G7, G8",1,0,0,2,2,40,0
10,92056088,mreicharzq,2023-02-18,Don'tWorryDarling2022,3,"J5, J6, J7",1,1,0,1,3,48,1
11,91526557,bhorbath2h,2023-06-22,TheDeparted2006,4,"C2, C3, C4, D1",2,0,1,1,4,70,0
12,84468932,mniavesz,2023-02-10,TheBossBaby2017,2,"B3, B4",0,0,1,1,1,22,0
13,89477929,msearsh,2023-03-19,Fireworks2017,6,"F1, F2, F3, F4, F5, F6",2,1,1,2,6,98,1
14,87338947,wworge1g,2023-06-12,TheDeparted2006,8,"G1, G2, G3, G4, G5,  J1, J2, J3",5,2,1,0,5,120,0
15,99684759,roliff1c,2023-01-24,TheDeparted2006,1,A1,0,0,1,0,0,8,1
16,99060729,rmaccaghan29,2023-05-09,Slumberland2022,2,"D7, E8",0,2,0,0,0,12,0
17,97933407,lvargat,2023-01-20,WeHaveaGhost2023,4,"A7, A8, A9, A10",1,0,2,1,2,50,1
18,92405327,jstuckow7,2023-03-24,RideOn2023,1,B4,0,1,0,0,1,14,0
19,91852754,cmelato28,2023-01-08,WeHaveaGhost2023,5,"E5, E6, E7, E8, E10",2,1,0,2,8,106,1
20,87338947,wworge1g,2023-05-31,Slumberland2022,3,"F8, F9, F10",1,1,1,0,3,50,0
