phoneNo,username,hashedPassw,email,age,genrePref,loyaltyPts,roles,seatPref
88999886,acalafato1x,B322959E3D2762BE6AD6C87A2AD821DCA3424634E9759C8FDD6820DB55AEA3E8,icrocombe1x@alexa.com,45,Documentary,322,Customer ,back
94253426,acrossingham2l,F55C46DD66D8937D1C88EA7280561982189041A5B13799DDC26AD5668B9F942D,pmcairt2l@jimdo.com,6,Thriller,513,Customer ,centre
90204648,agluyus10,13427F0673A23E09ED410BA8564954738BF90DEDD2AEB6127715E8D16F962FC2,tgluyus10@mediafire.com,69,Comedy,981,Customer ,center
82050373,agoade,74AE37F6969E611F9C8C51565ADF9AF9DC55107BD9A27DD71C64F5CA10DD9EB7,bgoade@amazon.de,67,Crime,302,Customer ,front
81014510,ahixson14,4A04950FC91D3415E33A73A1890F925722C2A3AD7543D7A15094253890D9FF66,lgrogono14@histats.com,82,Drama,922,Customer ,none
80416374,amackness1,41D7C661E791B2BA5A6562C2CF118F72C49474FD3210925E59F16F7C67CA5B0B,imackness1@wordpress.org,5,Comedy,261,Customer ,front
87911756,aoscannill26,1A8CF21B3EEEBF14B7E8B92707321C9B68463027D7CD80BEFFA8D8D5FE2C3B6E,vheardman26@mtv.com,51,Comedy,883,Customer ,front
95658170,atansleyc,99FFE9152ACA278E752FF6B26C382954DB29B3BDD3D9DE5392C467D410FC1A4D,kwillattsc@noaa.gov,22,Horror,474,Customer ,none
97199523,awattinham18,1EE08F02E713CA367A6F903B8CDAB03156BEA2E067A0AD2799A24C85D1B30CB2,dmusprat18@ted.com,52,Drama,92,Customer ,front
99400509,bdambrosio1h,885F761C25471C838CBFB6C4B894C5B82F0342764B79CC19F018B42CD8CE6B59,dpowland1h@artisteer.com,84,Documentary,903,Customer ,none
93107448,bgilchrest1v,B4EEF0E5D1187DAC670165ECC96D8C20F035CDCE142EC2448162A9226435A5D9,pwark1v@un.org,56,Fantasy,786,Customer ,front
90384153,bhairyes2p,70867966C198FDF9A0056A40D773EEF5E00E8391A2E889B18ADE29570B33F5B1,mdrysdall2p@abc.net.au,55,Drama,865,Customer ,center
91526557,bhorbath2h,957FB42E4A6F1577FD281F9833C5F2CA29E5E0DB3ED8CB2E6C4068F581125939,cnutting2h@cam.ac.uk,20,Drama,542,Customer ,center
85669927,bmathewson1z,5CDBA10FE992A436209C9F9061EBB726CA5C9E1A30056C9810442A34E892E945,bjoseph1z@typepad.com,64,Drama,23,Customer ,front
86368870,bminterv,51117397F910CD78967A3B4917A6C859945A4A7927090DFC051E07E6E360DC02,cclissettv@indiegogo.com,81,Documentary,477,Customer ,center
88260384,bmuston15,4B4FF948B77F9BCA76D5C37C643475B693F76D2DAD92F8C1331D4BE62F416E01,lputterill15@wordpress.com,52,None,0,Staff,none
87002613,btuer2n,E7F5EA5F0E5EFEED2B0DB970DE51CF25C7DA3ACE93419FBC622E28E12C7000A9,eblackledge2n@imgur.com,45,Comedy,498,Customer ,back
88369025,cdickie2j,DE017288DD8F0C1DD0631929C7F33DDC0A01324C50BD0073F858E024297F2120,ebriscam2j@yale.edu,49,None,0,Staff,none
88100004,cflewittg,FE250FF67A6E5E78EE041162111F45900C131F26AA6901107E766E8FC79391BA,cwedgeg@guardian.co.uk,31,None,0,Manager,none
94502315,cheditch2r,BC6AD67CE5EA805297269036B4E2712974EF8FDA7792C2E8462DBED9EAA9BE99,cbellfield2r@naver.com,57,Adventure,153,Customer ,none
89156711,cheildsj,23ACE6B0AE429DA9074A4B58DAB077F88D4D94129BB06FF6C2660146EC035867,cvankeevj@time.com,39,None,0,Admin,none
85647281,chonywilln,08F5E324454577EAC499917B51F59D712FA36F7DD72A415D1D889B6CE36A9B9C,hhonywilln@craigslist.org,7,Drama,228,Customer ,centre
93939657,ckonneke1b,2C3ADA81138E7375F1D428A7B76684CDB08A0D54714F54370FE94131A9373F33,fwaind1b@surveymonkey.com,75,Action,853,Customer ,front
91852754,cmelato28,3989116A55466CF7F70A2988320B0AC0A9FD87B062D40550CD2ABEFB504F503B,vmelato28@exblog.jp,93,Action,950,Customer ,back
96900162,crosson9,4D248EFB678CDCF1F4E331E84CE277A459A140846B39A09CF7CCF3D60546B7F4,jsoftley9@google.de,52,None,0,Staff,none
84121166,cskellen1r,F3666370D56121EDDD75BCB16D9DCCA87472303FAD09E0D56AE5530B12626B92,dridolfo1r@berkeley.edu,43,Fantasy,269,Customer ,center
91228787,ctenant1e,1EEDDA9EC1ED6AF82F58055049432E234EB67F02221B1AAF4D0B91A1A9075338,jjozwiak1e@alibaba.com,44,None,0,Staff,none
86596667,ctwist2a,AF85567279A8BBA4D01A4FF80E6DE43CBAD65A2199F490103EE1762986C577E9,jdines2a@flickr.com,20,None,0,Staff,none
99814416,cwiggington2d,C275FC14754201F5A79DF79F50993198585DF249DC974C8D23D8F27F45880DFD,cbrimacombe2d@dmoz.org,79,Horror,71,Customer ,none
97716417,dcostock21,5F4D858610119FB4EAA21CD8CA25BDD87AB4AF7F4D5D9094050386178244AA14,pianitti21@imgur.com,88,Horror,135,Customer ,none
90738496,ddun2b,5785EEA2E1D974CF5EDDA97C639765A4F978ABDD908612BB00FFB96BACC79C0D,gfitzsymons2b@dailymotion.com,79,Drama,669,Customer ,none
99813438,dhamments2k,3B24CCB85B2054609FEC380E9A9604E9240BBB4CF575C6BB732C2D02B250BFFF,tmcgilvra2k@slideshare.net,28,None,0,Staff,none
81344165,dmutimer1n,0B383978D911293E7E4DF98EB8FACCC058CB31E580CD06C5FABFCF22B0E26903,hoakshott1n@yellowbook.com,30,Animation,349,Customer ,none
98852597,ebozier17,410036F2C5E84B296CE5B346D6117E7CB8E55AC3217ED95693722D6F3AF146D5,cspurden17@multiply.com,49,Crime,396,Customer ,center
84747123,edumbleton1t,163E6C577305B8EE81920EA0AC7D61C9C90B276992ED1DCD7A408CB266F012C5,dmcgaughay1t@dion.ne.jp,7,Drama,174,Customer ,none
82359639,ehebblewhite1o,6FA4372680476864357188C5FDDE6C017C2AACC32D8A2B38EA3EC1328F6E5596,mcaudrey1o@hibu.com,74,Comedy,967,Customer ,center
98920585,equest0,BB738906EF5E1A6FEDD13FB64CC7FB835CDB24FB1AF9C2EC1AE0C1FB4BD169E5,gquest0@spotify.com,72,Adventure,103,Customer ,back
