phoneNo,username,password,hashedPassw,email,age,genrePref,loyaltyPts,roles,seatPref
88999886,acalafato1x,E1BQ8CU1e9,b322959e3d2762be6ad6c87a2ad821dca3424634e9759c8fdd6820db55aea3e8,icrocombe1x@alexa.com,45,Documentary,322,Customer ,back
94253426,acrossingham2l,InEB2qXkzKm,f55c46dd66d8937d1c88ea7280561982189041a5b13799ddc26ad5668b9f942d,pmcairt2l@jimdo.com,6,Thriller,513,Customer ,centre
90204648,agluyus10,evlW6t,13427f0673a23e09ed410ba8564954738bf90dedd2aeb6127715e8d16f962fc2,tgluyus10@mediafire.com,69,Comedy,981,Customer ,center
82050373,agoade,QpSS0mKnhxkk,74ae37f6969e611f9c8c51565adf9af9dc55107bd9a27dd71c64f5ca10dd9eb7,bgoade@amazon.de,67,Crime,302,Customer ,front
81014510,ahixson14,GOlOKA2Bmhn,4a04950fc91d3415e33a73a1890f925722c2a3ad7543d7a15094253890d9ff66,lgrogono14@histats.com,82,Drama,922,Customer ,none
80416374,amackness1,fLACzbbxd,41d7c661e791b2ba5a6562c2cf118f72c49474fd3210925e59f16f7c67ca5b0b,imackness1@wordpress.org,5,Comedy,261,Customer ,front
87911756,aoscannill26,UeCtIvGy,1a8cf21b3eeebf14b7e8b92707321c9b68463027d7cd80beffa8d8d5fe2c3b6e,vheardman26@mtv.com,51,Comedy,883,Customer ,front
95658170,atansleyc,cgg9uizz,99ffe9152aca278e752ff6b26c382954db29b3bdd3d9de5392c467d410fc1a4d,kwillattsc@noaa.gov,22,Horror,474,Customer ,none
97199523,awattinham18,A5IRIKuPmuuP,1ee08f02e713ca367a6f903b8cdab03156bea2e067a0ad2799a24c85d1b30cb2,dmusprat18@ted.com,52,Drama,92,Customer ,front
99400509,bdambrosio1h,9waXSwky,885f761c25471c838cbfb6c4b894c5b82f0342764b79cc19f018b42cd8ce6b59,dpowland1h@artisteer.com,84,Documentary,903,Customer ,none
93107448,bgilchrest1v,32Qbqi6,b4eef0e5d1187dac670165ecc96d8c20f035cdce142ec2448162a9226435a5d9,pwark1v@un.org,56,Fantasy,786,Customer ,front
90384153,bhairyes2p,BJLNEOKSrf,70867966c198fdf9a0056a40d773eef5e00e8391a2e889b18ade29570b33f5b1,mdrysdall2p@abc.net.au,55,Drama,865,Customer ,center
91526557,bhorbath2h,vGJtfNnY9F,957fb42e4a6f1577fd281f9833c5f2ca29e5e0db3ed8cb2e6c4068f581125939,cnutting2h@cam.ac.uk,20,Drama,542,Customer ,center
85669927,bmathewson1z,GsxSOFo,5cdba10fe992a436209c9f9061ebb726ca5c9e1a30056c9810442a34e892e945,bjoseph1z@typepad.com,64,Drama,23,Customer ,front
